Cartoonist_from_-title,Title_from_-title,Date_from_-title,_ - source_url,Publisher,_ - description,Authorities_only_entries
,,,,,,"""authority_id"":321134,""name"":""broad_related_authority"",""role"":null,""text"":""Theology, Doctrinal"""
,,,,,,"""authority_id"":1195939,""name"":""broad_related_authority"",""role"":null,""text"":""Chordata"""
,,,,,,"""authority_id"":690101,""name"":""broad_related_authority"",""role"":null,""text"":""Culture"""
,,,,,,"""authority_id"":62650,""name"":""broad_related_authority"",""role"":null,""text"":""Theology"""
,,,,,,"""authority_id"":68662,""name"":""broad_related_authority"",""role"":null,""text"":""Animals"""
,,,,,,"""authority_id"":149047,""name"":""broad_related_authority"",""role"":null,""text"":""Christianity"""
,,,,,,"""authority_id"":1214314,""name"":""broad_related_authority"",""role"":null,""text"":""Organisms"""
,,,,,,"""authority_id"":128834,""name"":""broad_related_authority"",""role"":null,""text"":""Religions"""
,,,,,,"""authority_id"":664137,""name"":""broad_related_authority"",""role"":null,""text"":""Life (Biology)"""
,,,,,,"""authority_id"":1198941,""name"":""broad_related_authority"",""role"":null,""text"":""Canis"""
,,,,,,"""authority_id"":1174290,""name"":""broad_related_authority"",""role"":null,""text"":""Canidae"""
,,,,,,"""authority_id"":336661,""name"":""broad_related_authority"",""role"":null,""text"":""Carnivora"""
,,,,,,"""authority_id"":1116628,""name"":""broad_related_authority"",""role"":null,""text"":""Predatory animals"""
,,,,,,"""authority_id"":292490,""name"":""broad_related_authority"",""role"":null,""text"":""Livestock"""
,,,,,,"""authority_id"":520968,""name"":""broad_related_authority"",""role"":null,""text"":""Animal industry"""
,,,,,,"""authority_id"":216591,""name"":""broad_related_authority"",""role"":null,""text"":""Domestic animals"""
,,,,,,"""authority_id"":4420,""name"":""broad_related_authority"",""role"":null,""text"":""Agriculture"""
,,,,,,"""authority_id"":1193490,""name"":""broad_related_authority"",""role"":null,""text"":""Animal culture"""
,,,,,,"""authority_id"":1247529,""name"":""broad_related_authority"",""role"":null,""text"":""Agricultural industries"""
,,,,,,"""authority_id"":1193473,""name"":""broad_related_authority"",""role"":null,""text"":""Life sciences"""
,,,,,,"""authority_id"":530994,""name"":""broad_related_authority"",""role"":null,""text"":""Industries"""
,,,,,,"""authority_id"":400116,""name"":""broad_related_authority"",""role"":null,""text"":""Pictures"""
"Winter,  Mark",Drought. ,13 January 2015,http://api.digitalnz.org/records/35314459/source,,"Accompanying note from cartoonist states 'Latest summer weather is good for the holiday-makers, not so for the farmers'.
Quantity: 2 digital cartoon(s).
Physical Description: Image file - Jpeg","""subject_authority"",""role"":null,""text"":""Weather"""
